time,open,high,low,close,volume,spread
2023-03-15 20:00:00,0.92788,0.9318,0.92633,0.93065,5251,0
2023-03-15 21:00:00,0.93064,0.93243,0.92835,0.9291,5920,0
2023-03-15 22:00:00,0.92908,0.93215,0.92762,0.93167,5560,0
2023-03-15 23:00:00,0.9316,0.93378,0.93147,0.93342,2571,0
2023-03-16 00:00:00,0.93291,0.93321,0.9328,0.93296,162,27
2023-03-16 01:00:00,0.93312,0.93414,0.93177,0.93212,2016,2
2023-03-16 02:00:00,0.93212,0.93236,0.93098,0.9315,3059,0
2023-03-16 03:00:00,0.93151,0.93193,0.92978,0.93169,4893,0
2023-03-16 04:00:00,0.93169,0.93204,0.93078,0.93079,2954,1
2023-03-16 05:00:00,0.93079,0.93196,0.93043,0.93125,2643,1
2023-03-16 06:00:00,0.93125,0.93135,0.93018,0.9305,2118,0
2023-03-16 07:00:00,0.9305,0.93074,0.92981,0.93012,1709,0
2023-03-16 08:00:00,0.93013,0.93065,0.92926,0.92991,1443,1
2023-03-16 09:00:00,0.92991,0.93012,0.92862,0.92902,2211,0
2023-03-16 10:00:00,0.92895,0.92954,0.92441,0.92477,4078,0
2023-03-16 11:00:00,0.92475,0.92627,0.92293,0.9262,4797,0
2023-03-16 12:00:00,0.92622,0.92741,0.92518,0.92723,3412,0
2023-03-16 13:00:00,0.92723,0.93034,0.92715,0.92883,2741,0
2023-03-16 14:00:00,0.92883,0.92952,0.92682,0.92684,3652,0
2023-03-16 15:00:00,0.92684,0.92812,0.92568,0.92652,5195,0
2023-03-16 16:00:00,0.9265,0.92894,0.92625,0.92789,7147,0
2023-03-16 17:00:00,0.92784,0.93138,0.92709,0.93003,7646,0
2023-03-16 18:00:00,0.93003,0.93225,0.92861,0.92997,7453,0
2023-03-16 19:00:00,0.92997,0.93042,0.92844,0.92926,5078,0
2023-03-16 20:00:00,0.92927,0.93199,0.9288,0.93171,4350,0
2023-03-16 21:00:00,0.93171,0.93183,0.92909,0.93,3793,0
2023-03-16 22:00:00,0.92996,0.93012,0.92847,0.92983,2786,0
2023-03-16 23:00:00,0.92983,0.93013,0.92921,0.92929,1621,0
2023-03-17 00:00:00,0.92934,0.92945,0.92877,0.92919,109,14
2023-03-17 01:00:00,0.9295,0.92999,0.92935,0.92949,2696,4
2023-03-17 02:00:00,0.92948,0.92951,0.9289,0.92924,1107,0
2023-03-17 03:00:00,0.92925,0.92955,0.92886,0.92917,2252,1
2023-03-17 04:00:00,0.92916,0.92931,0.92773,0.92797,2373,0
2023-03-17 05:00:00,0.92797,0.92797,0.92693,0.92743,1217,2
2023-03-17 06:00:00,0.92746,0.92765,0.92652,0.9271,1844,0
2023-03-17 07:00:00,0.92711,0.92721,0.92643,0.92645,3108,1
2023-03-17 08:00:00,0.92644,0.92657,0.92577,0.92603,2093,0
2023-03-17 09:00:00,0.92602,0.92674,0.92494,0.92495,1408,0
2023-03-17 10:00:00,0.92495,0.92581,0.92405,0.92489,3318,0
2023-03-17 11:00:00,0.92491,0.92712,0.92459,0.92514,4419,0
2023-03-17 12:00:00,0.92513,0.92616,0.92397,0.92613,3178,0
2023-03-17 13:00:00,0.92613,0.92781,0.92605,0.92712,3082,0
2023-03-17 14:00:00,0.92712,0.92794,0.92616,0.92776,3299,0
2023-03-17 15:00:00,0.92775,0.92866,0.92721,0.92792,4640,0
2023-03-17 16:00:00,0.92788,0.92848,0.92701,0.92772,4607,0
2023-03-17 17:00:00,0.92725,0.92853,0.92634,0.92754,4546,0
2023-03-17 18:00:00,0.92752,0.92873,0.92679,0.92847,4555,0
2023-03-17 19:00:00,0.92846,0.92932,0.927,0.92863,3197,0
2023-03-17 20:00:00,0.92862,0.92898,0.92716,0.92783,3813,0
2023-03-17 21:00:00,0.92788,0.92819,0.92531,0.9256,4157,0
2023-03-17 22:00:00,0.92565,0.92675,0.92496,0.92645,2911,0
2023-03-17 23:00:00,0.92644,0.92722,0.92538,0.92631,1927,0
2023-03-20 00:00:00,0.92498,0.92545,0.92425,0.92464,155,143
2023-03-20 01:00:00,0.92584,0.92791,0.92569,0.92686,3454,11
2023-03-20 02:00:00,0.92695,0.92723,0.92632,0.92695,1871,0
2023-03-20 03:00:00,0.92698,0.92717,0.92649,0.92655,1530,0
2023-03-20 04:00:00,0.92656,0.92713,0.92537,0.92684,2392,2
2023-03-20 05:00:00,0.9268,0.92681,0.92552,0.92599,1423,2
2023-03-20 06:00:00,0.92601,0.92668,0.92575,0.92629,2093,0
2023-03-20 07:00:00,0.9263,0.92634,0.92557,0.92594,1214,3
2023-03-20 08:00:00,0.92595,0.92613,0.92526,0.9254,877,1
2023-03-20 09:00:00,0.9254,0.92634,0.92449,0.92599,2980,1
2023-03-20 10:00:00,0.92599,0.92817,0.9251,0.92773,4328,0
2023-03-20 11:00:00,0.92772,0.93123,0.92688,0.92857,5142,0
2023-03-20 12:00:00,0.92855,0.93072,0.92841,0.92923,3538,0
2023-03-20 13:00:00,0.92921,0.92964,0.92738,0.92784,3361,0
2023-03-20 14:00:00,0.92784,0.929,0.92673,0.92674,2631,0
2023-03-20 15:00:00,0.92674,0.92757,0.92539,0.9274,3293,0
2023-03-20 16:00:00,0.92738,0.92746,0.92423,0.92488,3819,0
2023-03-20 17:00:00,0.92486,0.92599,0.92402,0.92516,3146,0
2023-03-20 18:00:00,0.92517,0.92706,0.92508,0.92673,2870,0
2023-03-20 19:00:00,0.92675,0.92687,0.92553,0.92612,2464,0
2023-03-20 20:00:00,0.9261,0.92841,0.92583,0.92839,1651,0
2023-03-20 21:00:00,0.92838,0.92875,0.92726,0.92836,2152,0
